video_id,comment,time,likes,sentiment,sentiment_score,green_tag,sarcasm,label,emotion
2OhNB26MPxg,car drive xpeng g resinc solar installed battery solar system get free quote,2025-07-28T01:54:12Z,0,positive,0.5106,1,0,0,joy
2OhNB26MPxg,tesla auto pilot supervised full self driving cant tell video miss thanks,2025-07-31T01:28:18Z,0,positive,0.5178,0,0,0,sadness
2OhNB26MPxg,original chinese video,2025-07-31T00:54:09Z,0,positive,0.3182,0,0,0,neutral
2OhNB26MPxg,video sadly doesnt really discuss background reasoning motivations expensive test media release british live china drive fcb bao fantastic follow nascent technology closely chinese car manufacturers brutal fight death race survive moment primarily best battery tech adas features important resulted manufacturers regulators drivers pushing limits local governments want local car companies succeed regulator insurance companies working closely together lot skin game recently central government realised wild west style development race desperate marketing departments car salesmen slyly claiming full self driving true created false narrative chinese consumers fatal xiaomi su crash occurred march dezhoushangrao highway anhui province china resulted deaths three female university students vehicle standard su model operating navigation autopilot noa mode traveling kmh approached construction zone lane barriers system detected road obstacle alerted driver began decelerating driver took manual control braked car crashed concrete barrier around kmh immediately impact car caught fire reports claim doors became locked preventing escape though xiaomi states doors mechanical emergency releases accessible inside even battery damaged cars emergency braking system aeb activate current software cannot recognize nonvehicle obstacles like water barriers construction cones crash sparked significant public concern reliability driverassist technologies especially since standard su lacks lidar sensors found higherend models relies solely cameras radar summary government china road safety regulator keen educate public current limitations adas also provide public open forum manufacturers named shamed motivate improve compete increase safety nothing better tesla sitting perch top sort open transparent public test results get released often china hence massive interest doubt also car manufacturers game competition good consumer safety road users take care know system well unexpected get disconnected,2025-07-31T00:40:34Z,1,positive,0.7951,1,0,0,sadness
2OhNB26MPxg,tesla still failed tests fully autonomous good enough robotaxi really lower level driver assist,2025-07-30T22:40:49Z,0,negative,-0.3848,0,0,2,sadness
2OhNB26MPxg,surprised see x passed wild pig testmine recently slowed avoided paper cup blown across road night,2025-07-30T11:57:31Z,0,negative,-0.128,0,0,2,surprise
2OhNB26MPxg,test coming china tells chinese media trustworthy western ones also thing note tesla ap used fsd,2025-07-30T10:22:57Z,0,positive,0.5574,0,0,0,joy
2OhNB26MPxg,thanks sharing results us,2025-07-30T07:55:30Z,0,positive,0.6908,0,0,0,neutral
2OhNB26MPxg,training compute power tesla eflops xpeng eflops xiami eflops li auto eflops huawei eflops tesla fsd better mention xai colossus eflops training compute well,2025-07-29T16:10:27Z,1,positive,0.6124,0,0,0,neutral
2OhNB26MPxg,made china junk like chinese army products india proved putin cant finish war every thing like temu products china walmart,2025-07-29T12:13:48Z,0,positive,0.799,0,0,0,sadness
2OhNB26MPxg,sam tesla model performance brother base model tesla model us somewhat bemusedconfusedless happy happens car cruise control one called interstate freeways encounter situation people turn right across freeway ie offramp bridge freeway would expecthope would norm wtf freeway builders australia many situations people turn right across freeway nothing road say hopelessuselessunbelievable example failure build proper freeway system victoria slow momentarily stupidly slow freeway speed km per hour km per hour slavishly conformity new south wales finally finished turning pacific highway road bus crash triggered saying would duplicate road took something like years ridiculous failure get things done timely fashion went mediocrity half road situations grannies hopelessly worn cars turning right across freeway means frequent random ridiculously slow brief speed limits drive us absolutely crazy thanks hopelessly conservative bureaucracy heads far bums anyhow wanted say tesla cruise control tuned safe get lunatic grannyhobby farm clown right hand turn across freeway properly engineered ramp bridge car stands brakes almost get whiplash really glad wearing seatbelt tesla really erred side playing safe way going get anywhere near hitting one crazy people risking life limb turn right hoorah tesla sure car ala cars anything like sophisticated system australia particularly nanny states new south wales victoria bureaucracy would never acknowledge fcked spending money proper exit ramps bridges want cross freeway answer always slow stupidly slow speed hullo freeway major road meant get us b quickly pretty damned big country answer always dead hand risk averse conservative must slow dont get started,2025-07-29T10:18:00Z,0,negative,-0.8815,0,0,2,surprise
2OhNB26MPxg,seems still far away full unsupervised although seems hw reportedly coming next year,2025-07-29T08:42:31Z,1,neutral,0.0,0,0,1,neutral
2OhNB26MPxg,commentators number name probably fud,2025-07-29T08:36:54Z,0,negative,-0.2023,0,0,2,disgust
